model,year,price,total_km,hp,box,body,drive,fuel,location
Skoda Octavia,2014,820000.0,179000.0,140.0,AMT, хетчбэк, передний, бензин,Кировская область
Nissan Patrol,2006,550000.0,190000.0,160.0,AT, внедорожник, полный, дизель,Пермский край
Kia Rio,2012,619000.0,121000.0,123.0,AT, седан, передний, бензин,Санкт-Петербург
Skoda Octavia,2015,910000.0,194000.0,180.0,AMT, хетчбэк, передний, бензин,Москва
Opel Astra GTC,2013,663500.0,161000.0,140.0,AT, хетчбэк, передний, бензин,Краснодарский край
Hyundai Solaris,2014,665000.0,136800.0,123.0,MT, хетчбэк, передний, бензин,Республика Башкортостан
Ford Focus,2009,630000.0,137000.0,145.0,AT, хетчбэк, передний, бензин,Ростовская область
Mazda 3,2007,450000.0,187000.0,150.0,MT, хетчбэк, передний, бензин,Челябинская область
Audi A4,2009,835000.0,185084.0,211.0,CVT, седан, передний, бензин,Республика Татарстан
LADA 4x4 (Нива),2021,910000.0,4846.0,83.0,MT, внедорожник, полный, бензин,Ставропольский край
Mitsubishi Lancer,2010,465000.0,204000.0,109.0,MT, седан, передний, бензин,Пермский край
LADA Vesta,2021,990000.0,24000.0,106.0,MT, седан, передний, бензин,Республика Калмыкия
SsangYong Kyron,2010,610000.0,257000.0,141.0,AT, внедорожник, полный, дизель,Московская область
Mazda 6,2008,700000.0,145000.0,147.0,MT, седан, передний, бензин,Краснодарский край
Volkswagen Transporter,2001,800000.0,380000.0,75.0,MT, минивэн, передний, дизель,Московская область
Honda Freed,2012,885000.0,172000.0,118.0,CVT, минивэн, передний, бензин,Краснодарский край
Hyundai Solaris,2015,785000.0,120000.0,123.0,AT, хетчбэк, передний, бензин,Астраханская область
LADA XRAY,2020,800000.0,30000.0,106.0,MT, хетчбэк, передний, бензин,Москва
Skoda Octavia,2010,520000.0,157500.0,122.0,AMT, хетчбэк, передний, бензин,Москва
LADA Priora,2016,450000.0,182000.0,106.0,MT, седан, передний, бензин,Чеченская Республика
Mercedes-Benz S-класс,2009,920000.0,166000.0,388.0,AT, седан, полный, бензин,Москва
Volvo S40,2007,500000.0,74000.0,140.0,AT, седан, передний, бензин,Санкт-Петербург
ГАЗ Соболь 2310,2011,600000.0,150000.0,107.0,MT, пикап, задний, бензин,Москва
Ford Focus,2013,639000.0,117000.0,125.0,AMT, хетчбэк, передний, бензин,Санкт-Петербург
Hyundai Solaris,2016,518000.0,177300.0,107.0,AT, седан, передний, бензин,Санкт-Петербург
Toyota Roomy,2018,541000.0,41000.0,69.0,CVT, минивэн, передний, бензин,Приморский край
LADA Vesta Cross,2019,919000.0,53121.0,122.0,MT, универсал, передний, бензин,Калининградская область
Volkswagen Polo,2014,710000.0,143315.0,105.0,AT, седан, передний, бензин,Республика Крым
Nissan Pathfinder,2008,790000.0,150046.0,174.0,MT, внедорожник, полный, дизель,Калининградская область
Mercedes-Benz E-класс,2002,640000.0,350000.0,177.0,AT, седан, задний, бензин,Республика Северная Осетия — Алания
BMW 5 серия,2008,750000.0,420000.0,177.0,AT, седан, задний, дизель,Республика Крым
Chevrolet Niva,2013,479000.0,120000.0,80.0,MT, внедорожник, полный, бензин,Вологодская область
Toyota Sienta,2018,780000.0,43000.0,109.0,CVT, минивэн, передний, бензин,Приморский край
Toyota Vitz,2018,751000.0,39000.0,109.0,CVT, хетчбэк, передний, бензин,Приморский край
Subaru Forester,2006,695000.0,226100.0,230.0,MT, внедорожник, полный, бензин,Москва
Volkswagen Polo,2014,675000.0,130200.0,105.0,MT, седан, передний, бензин,Республика Башкортостан
Volkswagen Passat,2011,999000.0,165000.0,152.0,AMT, универсал, передний, бензин,Республика Мордовия
LADA Granta,2020,770000.0,11000.0,87.0,MT, седан, передний, бензин,Воронежская область
Opel Astra,2010,525000.0,176000.0,115.0,MT, универсал, передний, бензин,Московская область
Toyota Vitz,2018,645000.0,42000.0,95.0,CVT, хетчбэк, полный, бензин,Приморский край
Renault Logan,2017,695000.0,85700.0,113.0,MT, седан, передний, бензин,Калининградская область
Jeep Compass,2011,865000.0,153300.0,170.0,CVT, внедорожник, полный, бензин,Московская область
Toyota Camry,2008,713000.0,149334.0,167.0,AT, седан, передний, бензин,Москва
Mazda CX-7,2008,650000.0,154700.0,238.0,AT, внедорожник, полный, бензин,Санкт-Петербург
Volvo S60,2012,499000.0,175000.0,180.0,AT, седан, передний, бензин,Республика Башкортостан
Kia Rio,2012,585000.0,192100.0,107.0,AT, седан, передний, бензин,Ставропольский край
ВАЗ Largus Cross,2020,1000000.0,13000.0,106.0,MT, универсал, передний, бензин,Пензенская область
Renault Logan,2017,695000.0,85700.0,113.0,MT, седан, передний, бензин,Калининградская область
Alfa Romeo 159,2008,850000.0,152000.0,185.0,AMT, седан, передний, бензин,Нижегородская область
Kia Rio,2012,585000.0,192100.0,107.0,AT, седан, передний, бензин,Ставропольский край
ВАЗ Largus Cross,2020,1000000.0,13000.0,106.0,MT, универсал, передний, бензин,Пензенская область
Nissan Almera,2015,570000.0,136000.0,102.0,AT, седан, передний, бензин,Москва
Nissan Qashqai,2010,799000.0,188000.0,141.0,CVT, внедорожник, полный, бензин,Москва
Nissan Navara,2007,560000.0,330000.0,174.0,AT, пикап, полный, дизель,Калининградская область
Infiniti EX35,2008,825000.0,84000.0,295.0,AT, внедорожник, полный, бензин,Краснодарский край
Volkswagen Passat,2010,600000.0,200000.0,152.0,AMT, седан, передний, бензин,Ульяновская область
LADA Kalina,2018,552000.0,28000.0,87.0,MT, универсал, передний, бензин,Самарская область
LADA Granta,2017,457000.0,31000.0,87.0,MT, седан, передний, бензин,Удмуртская Республика
Suzuki SX4,2011,615000.0,195000.0,112.0,AT, внедорожник, передний, бензин,Краснодарский край
Renault Logan,2015,589000.0,85000.0,82.0,MT, седан, передний, бензин,Вологодская область
Hyundai Solaris,2015,692000.0,123000.0,123.0,AT, хетчбэк, передний, бензин,Краснодарский край
Kia Soul,2011,696000.0,104990.0,124.0,AT, хетчбэк, передний, бензин,Республика Татарстан
LADA XRAY,2017,690000.0,58000.0,106.0,MT, хетчбэк, передний, бензин,Удмуртская Республика
Kia Rio,2016,675000.0,240000.0,123.0,AT, седан, передний, бензин,Москва
Kia Cerato,2011,470000.0,180000.0,126.0,AT, седан, передний, бензин,Тюменская область
LADA Granta,2021,970000.0,30000.0,98.0,AT, седан, передний, бензин,Пензенская область
BMW X3,2004,499000.0,177111.0,184.0,AT, внедорожник, полный, бензин,Вологодская область
Geely Emgrand X7,2015,550000.0,149548.0,148.0,AT, внедорожник, передний, бензин,Краснодарский край
